region,n_countries,total_parks,mean_parks,median_parks,max_parks,min_parks,mean_per_100k,median_per_100k,sd_per_100k,total_population,avg_score
North America,1,981,981,981,981,981,2.5195234818304346,2.5195234818304346,NA,38935934,28.487256949759338
Europe & Central Asia,48,13654,284.4583333333333,53,2315,1,2.3118841488178403,1.6106060270490878,2.357228095029509,766004385,26.139010778421923
East Asia & Pacific,12,1514,126.16666666666667,37.5,906,1,0.7283171803981383,0.09360814996444244,1.1824036829404538,2160692084,8.230048075182946
Middle East & North Africa,11,318,28.90909090909091,3,279,1,0.38534265294624975,0.009323944411389335,0.9044091071709839,398207874,4.351261675371561
Latin America & Caribbean,17,656,38.588235294117645,10,240,1,0.12902549033909674,0.061714898823753306,0.16943103338492424,599878581,1.4525055148332793
South Asia,4,29,7.25,2,24,1,0.035106229709172765,0.005889736751649376,0.0621112452273537,1625304459,0.3903486441228389
Sub-Saharan Africa,2,5,2.5,2.5,3,2,0.006050298276046541,0.006050298276046541,7.362328047229423e-4,84689722,0.06174770540597872
NA,1,2,2,2,2,2,0.004,0.004,NA,50000000,0.03856035931421503
