region,n_countries,total_parks,total_population,mean_parks_per_100k,median_parks_per_100k,sd_parks_per_100k,parks_gini,regional_score,best_performer,worst_performer
North America,1,981,38935934,2.5195234818304346,2.5195234818304346,NA,0,28.487256949759338,Denmark,Bangladesh
Europe & Central Asia,48,13654,766004385,2.3118841488178403,1.6106060270490878,2.357228095029509,0.5389845526578187,26.139010778421923,Denmark,Bangladesh
East Asia & Pacific,12,1514,2160692084,0.7283171803981383,0.09360814996444244,1.1824036829404538,0.7267157749094515,8.230048075182946,Denmark,Bangladesh
Middle East & North Africa,11,318,398207874,0.38534265294624975,0.009323944411389335,0.9044091071709839,0.8353944164748681,4.351261675371561,Denmark,Bangladesh
Latin America & Caribbean,17,656,599878581,0.12902549033909674,0.061714898823753306,0.16943103338492424,0.5671235786645072,1.4525055148332793,Denmark,Bangladesh
South Asia,4,29,1625304459,0.035106229709172765,0.005889736751649376,0.0621112452273537,0.695756428663941,0.3903486441228389,Denmark,Bangladesh
Sub-Saharan Africa,2,5,84689722,0.006050298276046541,0.006050298276046541,7.362328047229423e-4,0.04302227634070932,0.06174770540597872,Denmark,Bangladesh
NA,1,2,50000000,0.004,0.004,NA,0,0.03856035931421503,Denmark,Bangladesh
