country_name,region,parks_per_100k,region_quartile_label,peers
Argentina,Latin America & Caribbean,0.16516948238791201,Regional Leader,"Colombia, Chile, Brazil"
Colombia,Latin America & Caribbean,0.1642894816230038,Above Average,"Argentina, Chile, Brazil"
Brazil,Latin America & Caribbean,0.11411920078614815,Above Average,"Panama, Mexico, Colombia"
Panama,Latin America & Caribbean,0.11361640330005661,Above Average,"Brazil, Mexico, Colombia"
Mexico,Latin America & Caribbean,0.09952328579362554,Above Average,"Panama, Brazil, Ecuador"
Ecuador,Latin America & Caribbean,0.061714898823753306,Below Average,"Uruguay, Peru, Venezuela, Bolivarian Republic of"
Uruguay,Latin America & Caribbean,0.05898116524959503,Below Average,"Ecuador, Peru, Venezuela, Bolivarian Republic of"
Peru,Latin America & Caribbean,0.04480897307452706,Below Average,"Venezuela, Bolivarian Republic of, Bolivia, Plurinational State of, Uruguay"
"Venezuela, Bolivarian Republic of",Latin America & Caribbean,0.035444631816583104,Below Average,"Bolivia, Plurinational State of, Peru, Cuba"
"Bolivia, Plurinational State of",Latin America & Caribbean,0.03312038581275026,Regional Laggard,"Venezuela, Bolivarian Republic of, Peru, Cuba"
Cuba,Latin America & Caribbean,0.018083476946279417,Regional Laggard,"Dominican Republic, Paraguay, Honduras"
Dominican Republic,Latin America & Caribbean,0.01780827504239705,Regional Laggard,"Cuba, Paraguay, Honduras"
Paraguay,Latin America & Caribbean,0.014791884107363045,Regional Laggard,"Dominican Republic, Cuba, Honduras"
Honduras,Latin America & Caribbean,0.009556691824976453,Regional Laggard,"Paraguay, Dominican Republic, Cuba"
Israel,Middle East & North Africa,2.9191734240125555,Regional Leader,"Malta, United Arab Emirates, Oman"
Malta,Middle East & North Africa,1.129703095198197,Regional Leader,"United Arab Emirates, Oman, Tunisia"
United Arab Emirates,Middle East & North Africa,0.11910697165859534,Above Average,"Oman, Tunisia, Saudi Arabia"
Oman,Middle East & North Africa,0.021140638946215255,Above Average,"Tunisia, Saudi Arabia, Iran, Islamic Republic of"
Tunisia,Middle East & North Africa,0.016502556988692612,Above Average,"Oman, Saudi Arabia, Iran, Islamic Republic of"
Saudi Arabia,Middle East & North Africa,0.009323944411389335,Below Average,"Iran, Islamic Republic of, Algeria, Morocco"
"Iran, Islamic Republic of",Middle East & North Africa,0.007819110813845894,Below Average,"Algeria, Saudi Arabia, Morocco"
Algeria,Middle East & North Africa,0.00659668478328868,Below Average,"Iran, Islamic Republic of, Morocco, Saudi Arabia"
Morocco,Middle East & North Africa,0.005357755554760227,Regional Laggard,"Algeria, Iran, Islamic Republic of, Iraq"
Iraq,Middle East & North Africa,0.0022690889433172735,Regional Laggard,"Egypt, Morocco, Algeria"
Egypt,Middle East & North Africa,0.0017759110978904395,Regional Laggard,"Iraq, Morocco, Algeria"
Canada,North America,2.5195234818304346,Regional Laggard,
Bhutan,South Asia,0.12805507392619417,Regional Leader,"Nepal, India, Bangladesh"
Nepal,South Asia,0.010095763023635258,Above Average,"India, Bangladesh, Bhutan"
India,South Asia,0.001683710479663495,Below Average,"Bangladesh, Nepal, Bhutan"
Bangladesh,South Asia,5.903714071981282e-4,Regional Laggard,"India, Nepal, Bhutan"
Madagascar,Sub-Saharan Africa,0.006570893484798124,Below Average,Kenya
Kenya,Sub-Saharan Africa,0.0055297030672949565,Regional Laggard,Madagascar
Namibia,NA,0.004,Regional Laggard,
