country_name,region,parks_per_100k,global_rank,global_percentile,tier_numeric,performance_status
"Bolivia, Plurinational State of",Latin America & Caribbean,0.03312038581275026,70,28.125,Low Tier,Below Global Average
Oman,Middle East & North Africa,0.021140638946215255,71,27.083333333333332,Low Tier,Below Global Average
Cuba,Latin America & Caribbean,0.018083476946279417,72,26.041666666666668,Low Tier,Below Global Average
Dominican Republic,Latin America & Caribbean,0.01780827504239705,73,25,Low Tier,Below Global Average
Malaysia,East Asia & Pacific,0.017293312419569884,74,23.958333333333336,Low Tier,Needs Urgent Improvement
Thailand,East Asia & Pacific,0.016728159147356807,75,22.916666666666664,Low Tier,Needs Urgent Improvement
Tunisia,Middle East & North Africa,0.016502556988692612,76,21.875,Low Tier,Needs Urgent Improvement
Paraguay,Latin America & Caribbean,0.014791884107363045,77,20.833333333333336,Low Tier,Needs Urgent Improvement
Nepal,South Asia,0.010095763023635258,78,19.791666666666664,Low Tier,Needs Urgent Improvement
Azerbaijan,Europe & Central Asia,0.00986022538897603,79,18.75,Low Tier,Needs Urgent Improvement
Honduras,Latin America & Caribbean,0.009556691824976453,80,17.708333333333336,Low Tier,Needs Urgent Improvement
Saudi Arabia,Middle East & North Africa,0.009323944411389335,81,16.666666666666664,Low Tier,Needs Urgent Improvement
"Iran, Islamic Republic of",Middle East & North Africa,0.007819110813845894,82,15.625,Low Tier,Needs Urgent Improvement
Algeria,Middle East & North Africa,0.00659668478328868,83,14.583333333333334,Low Tier,Needs Urgent Improvement
Madagascar,Sub-Saharan Africa,0.006570893484798124,84,13.541666666666666,Low Tier,Needs Urgent Improvement
Kenya,Sub-Saharan Africa,0.0055297030672949565,85,12.5,Low Tier,Needs Urgent Improvement
Morocco,Middle East & North Africa,0.005357755554760227,86,11.458333333333332,Low Tier,Needs Urgent Improvement
China,East Asia & Pacific,0.005240143749889355,87,10.416666666666668,Low Tier,Needs Urgent Improvement
Namibia,NA,0.004,88,9.375,Low Tier,Needs Urgent Improvement
Indonesia,East Asia & Pacific,0.0028691262856657992,89,8.333333333333332,Low Tier,Needs Urgent Improvement
Uzbekistan,Europe & Central Asia,0.0028621348291613183,90,7.291666666666667,Low Tier,Needs Urgent Improvement
Iraq,Middle East & North Africa,0.0022690889433172735,91,6.25,Low Tier,Needs Urgent Improvement
Viet Nam,East Asia & Pacific,0.002006407361588866,92,5.208333333333334,Low Tier,Needs Urgent Improvement
Jersey,Europe & Central Asia,0.002,93,4.166666666666666,Low Tier,Needs Urgent Improvement
Egypt,Middle East & North Africa,0.0017759110978904395,94,3.125,Low Tier,Needs Urgent Improvement
India,South Asia,0.001683710479663495,95,2.083333333333333,Low Tier,Needs Urgent Improvement
Bangladesh,South Asia,5.903714071981282e-4,96,1.0416666666666665,Low Tier,Needs Urgent Improvement
