tier_numeric,n_countries,pct_global,total_parks,mean_parks_per_100k,mean_composite_score,total_population,avg_population
Top Tier,1,1.0416666666666665,522,8.842905778838928,75,5903037,5903037
Advanced,2,2.083333333333333,1239,7.897888246246864,69.656277857959,17757643,8878821.5
Developing,10,10.416666666666668,7067,4.757615749723745,51.899206594227536,160341818,16034181.8
Emerging,22,22.916666666666664,6445,2.1771430953185362,37.30759492068109,287758947,13079952.136363637
Low Tier,61,63.541666666666664,1886,0.14272965504670007,25.803744704243627,5251951594,86097567.1147541
