country_name,region,n_parks,parks_per_100k,estimated_population,park_density_score,cluster_id,cluster_label
Malaysia,East Asia & Pacific,6,0.017293312419569884,34695493,0.1888978196630871,3,Emerging (Low Parks)
Thailand,East Asia & Pacific,12,0.016728159147356807,71735329,0.18250635717648453,3,Emerging (Low Parks)
Tunisia,Middle East & North Africa,2,0.016502556988692612,12119334,0.1799549648287904,3,Emerging (Low Parks)
Paraguay,Latin America & Caribbean,1,0.014791884107363045,6760464,0.16060852894060898,3,Emerging (Low Parks)
Nepal,South Asia,3,0.010095763023635258,29715436,0.10749889795209185,3,Emerging (Low Parks)
Azerbaijan,Europe & Central Asia,1,0.00986022538897603,10141756,0.10483514277252355,3,Emerging (Low Parks)
Honduras,Latin America & Caribbean,1,0.009556691824976453,10463872,0.10140240428703064,3,Emerging (Low Parks)
Saudi Arabia,Middle East & North Africa,3,0.009323944411389335,32175224,0.09877020442915746,3,Emerging (Low Parks)
"Iran, Islamic Republic of",Middle East & North Africa,7,0.007819110813845894,89524246,0.08175165749654444,3,Emerging (Low Parks)
Algeria,Middle East & North Africa,3,0.00659668478328868,45477389,0.06792692976143337,3,Emerging (Low Parks)
Madagascar,Sub-Saharan Africa,2,0.006570893484798124,30437261,0.06763524938924398,3,Emerging (Low Parks)
Kenya,Sub-Saharan Africa,3,0.0055297030672949565,54252461,0.05586016142271346,3,Emerging (Low Parks)
Morocco,Middle East & North Africa,2,0.005357755554760227,37329064,0.05391556315165188,3,Emerging (Low Parks)
China,East Asia & Pacific,74,0.005240143749889355,1412175000,0.052585461255806557,3,Emerging (Low Parks)
Namibia,NA,2,0.004,50000000,0.03856035931421503,3,Emerging (Low Parks)
Indonesia,East Asia & Pacific,8,0.0028691262856657992,278830529,0.025771020071874366,3,Emerging (Low Parks)
Uzbekistan,Europe & Central Asia,1,0.0028621348291613183,34938955,0.02569195190723273,3,Emerging (Low Parks)
Iraq,Middle East & North Africa,1,0.0022690889433172735,44070551,0.01898504473961908,3,Emerging (Low Parks)
Viet Nam,East Asia & Pacific,2,0.002006407361588866,99680655,0.016014311740119535,3,Emerging (Low Parks)
Jersey,Europe & Central Asia,1,0.002,50000000,0.01594184925384042,3,Emerging (Low Parks)
Egypt,Middle East & North Africa,2,0.0017759110978904395,112618250,0.013407570710448723,3,Emerging (Low Parks)
India,South Asia,24,0.001683710479663495,1425423212,0.012364850404979272,3,Emerging (Low Parks)
Bangladesh,South Asia,1,5.903714071981282e-4,169384897,0,3,Emerging (Low Parks)
Denmark,Europe & Central Asia,522,8.842905778838928,5903037,100,4,Leaders (High Parks)
Netherlands,Europe & Central Asia,1234,6.971364639543728,17700982,78.83426395622327,4,Leaders (High Parks)
Austria,Europe & Central Asia,559,6.182362438841339,9041851,69.91123684910092,4,Leaders (High Parks)
Belgium,Europe & Central Asia,676,5.787567175590165,11680210,65.44639653228347,4,Leaders (High Parks)
Estonia,Europe & Central Asia,76,5.634471101094274,1348840,63.714993981688885,4,Leaders (High Parks)
Sweden,Europe & Central Asia,555,5.292296390339185,10486941,59.84525291287901,4,Leaders (High Parks)
Hungary,Europe & Central Asia,481,5.007769851642996,9605074,56.62746972390734,4,Leaders (High Parks)
Spain,Europe & Central Asia,1973,4.128815528833049,47786102,46.68715112736408,4,Leaders (High Parks)
Italy,Europe & Central Asia,2315,3.9228201155505213,59013667,44.357496463503146,4,Leaders (High Parks)
Czechia,Europe & Central Asia,403,3.7761951282772546,10672118,42.699277088631796,4,Leaders (High Parks)
Australia,East Asia & Pacific,906,3.482108132832509,26018721,39.373372256085645,4,Leaders (High Parks)
Slovakia,Europe & Central Asia,168,3.0929247137940026,5431752,34.97199771665892,4,Leaders (High Parks)
Israel,Middle East & North Africa,279,2.9191734240125555,9557500,33.007000068696556,4,Leaders (High Parks)
Croatia,Europe & Central Asia,105,2.7232825877720463,3855641,30.79162064357598,4,Leaders (High Parks)
Canada,North America,981,2.5195234818304346,38935934,28.487256949759338,4,Leaders (High Parks)
Germany,Europe & Central Asia,2018,2.426127746349859,83177813,27.431020758477597,4,Leaders (High Parks)
