Table 130-06801 : Domestic households by District Council district and household size,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 , ,Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1)
,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%)
Household size (2),Household size (2),1,2,3,4,5 and over,5 and over,5 and over,Overall,1,2,3,4,5 and over,5 and over,5 and over,Overall
Household size (2),Household size (2),,,,,5,6 and over,Sub-total,,,,,,5,6 and over,Sub-total,
Year,District Council district (DCD),,,,,,,,,,,,,,,,
2002,Yuen Long,19.1,32.0,33.5,40.8,18.6,8.0,26.6,152.1,12.6,21.0,22.0,26.8,12.2,5.3,17.5,100.0
2002,North,10.9,17.8,18.3,23.9,10.4,5.1,15.4,86.3,12.7,20.6,21.2,27.7,12.0,5.9,17.9,100.0
2002,Tai Po,8.7,18.1,18.2,26.2,12.5,4.7,17.2,88.5,9.9,20.5,20.6,29.7,14.1,5.3,19.4,100.0
2002,Sha Tin,18.3,36.8,43.4,52.7,25.4,8.1,33.5,184.6,9.9,19.9,23.5,28.5,13.8,4.4,18.1,100.0
2002,Sai Kung,10.2,23.4,24.1,27.9,15.0,4.8,19.8,105.5,9.7,22.2,22.9,26.4,14.2,4.5,18.8,100.0
2002,Islands,6.9,8.4,5.7,5.8,3.5,1.7,5.3,32.1,21.6,26.3,17.6,18.1,11.0,5.4,16.4,100.0
2002,Whole Territory,289.3,458.5,458.3,519.2,248.3,106.9,355.2,2080.5,13.9,22.0,22.0,25.0,11.9,5.1,17.1,100.0
2003,Central and Western,19.9,21.4,15.8,13.7,7.8,3.9,11.8,82.5,24.1,25.9,19.1,16.7,9.5,4.7,14.2,100.0
2003,Wan Chai (3),14.5,14.5,10.7,8.1,4.9,2.3,7.1,54.9,26.5,26.3,19.4,14.8,8.9,4.1,13.0,100.0
2003,Eastern (3),26.4,43.3,44.5,44.1,21.0,8.6,29.6,187.9,14.1,23.1,23.7,23.5,11.2,4.6,15.8,100.0
2003,Southern,9.5,17.8,19.4,19.7,10.7,5.0,15.8,82.0,11.6,21.7,23.6,24.0,13.1,6.1,19.2,100.0
2003,Yau Tsim Mong,22.5,26.5,19.5,15.9,8.5,4.0,12.5,96.8,23.2,27.4,20.1,16.4,8.7,4.1,12.9,100.0
2003,Sham Shui Po,22.9,25.5,24.6,26.3,10.7,4.8,15.5,114.8,19.9,22.2,21.4,22.9,9.3,4.2,13.5,100.0
2003,Kowloon City,19.1,26.8,24.2,24.9,12.5,6.2,18.6,113.6,16.8,23.6,21.3,21.9,11.0,5.4,16.4,100.0
2003,Wong Tai Sin,17.9,28.1,33.9,33.9,14.4,7.6,22.1,135.9,13.2,20.7,25.0,25.0,10.6,5.6,16.2,100.0
2003,Kwun Tong,27.1,41.9,42.2,45.2,18.6,8.0,26.7,183.1,14.8,22.9,23.1,24.7,10.2,4.4,14.6,100.0
2003,Kwai Tsing,16.5,30.8,36.4,40.1,18.1,8.0,26.1,149.9,11.0,20.6,24.3,26.7,12.1,5.3,17.4,100.0
2003,Tsuen Wan,11.6,23.0,19.2,20.6,9.1,3.8,12.8,87.2,13.3,26.3,22.1,23.6,10.4,4.3,14.7,100.0
2003,Tuen Mun,20.1,35.1,38.6,42.6,16.0,6.0,22.1,158.4,12.7,22.1,24.3,26.9,10.1,3.8,13.9,100.0
2003,Yuen Long,20.4,35.3,34.6,42.5,18.7,7.7,26.4,159.2,12.8,22.2,21.7,26.7,11.7,4.8,16.6,100.0
2003,North,10.6,19.2,17.8,25.1,11.0,4.1,15.1,87.8,12.0,21.9,20.2,28.6,12.6,4.7,17.3,100.0
2003,Tai Po,9.6,18.2,19.7,24.0,11.3,5.0,16.3,87.9,10.9,20.7,22.5,27.3,12.9,5.7,18.6,100.0
2003,Sha Tin,19.8,38.8,43.7,50.5,23.2,8.8,32.0,184.9,10.7,21.0,23.7,27.3,12.6,4.7,17.3,100.0
2003,Sai Kung,12.4,26.6,25.5,26.6,13.8,6.4,20.1,111.1,11.1,23.9,22.9,23.9,12.4,5.7,18.1,100.0
2003,Islands,7.9,8.9,6.0,7.9,3.9,1.3,5.2,35.9,21.9,24.8,16.8,21.9,10.8,3.7,14.6,100.0
2003,Whole Territory,308.6,481.8,476.2,511.7,234.1,101.6,335.7,2114.0,14.6,22.8,22.5,24.2,11.1,4.8,15.9,100.0
2004,Central and Western,20.8,21.8,16.8,14.8,7.1,3.6,10.7,84.9,24.5,25.7,19.7,17.5,8.4,4.2,12.6,100.0
2004,Wan Chai (3),14.6,15.1,10.3,7.9,5.8,1.8,7.6,55.4,26.3,27.3,18.5,14.2,10.4,3.3,13.8,100.0
2004,Eastern (3),26.1,45.1,43.3,44.1,20.2,8.6,28.8,187.4,13.9,24.1,23.1,23.5,10.8,4.6,15.4,100.0
2004,Southern,8.5,17.5,20.4,20.5,9.8,4.1,13.9,80.8,10.5,21.6,25.3,25.4,12.1,5.1,17.2,100.0
2004,Yau Tsim Mong,21.8,28.2,20.1,18.0,8.7,4.0,12.7,100.8,21.6,28.0,20.0,17.8,8.6,4.0,12.6,100.0
2004,Sham Shui Po,21.2,28.1,28.0,23.6,11.3,4.6,15.9,116.9,18.1,24.1,24.0,20.2,9.7,3.9,13.6,100.0
2004,Kowloon City,16.3,28.5,25.9,24.6,11.2,6.4,17.6,112.8,14.4,25.2,22.9,21.8,9.9,5.7,15.6,100.0
2004,Wong Tai Sin,15.8,29.6,32.7,34.3,15.7,6.1,21.8,134.2,11.8,22.0,24.3,25.6,11.7,4.6,16.3,100.0
2004,Kwun Tong,27.6,43.9,44.6,43.2,18.1,6.9,25.0,184.4,15.0,23.8,24.2,23.5,9.8,3.7,13.6,100.0
2004,Kwai Tsing,18.1,30.9,37.1,39.9,18.7,7.2,25.9,151.9,11.9,20.4,24.4,26.3,12.3,4.7,17.0,100.0
2004,Tsuen Wan,11.7,23.0,20.2,20.6,9.7,3.1,12.8,88.4,13.3,26.0,22.9,23.4,10.9,3.6,14.5,100.0
2004,Tuen Mun,18.5,37.1,41.3,40.2,15.5,5.3,20.7,157.9,11.7,23.5,26.2,25.5,9.8,3.3,13.1,100.0
2004,Yuen Long,21.6,34.0,35.0,44.6,18.7,7.3,26.0,161.2,13.4,21.1,21.7,27.7,11.6,4.5,16.1,100.0
2004,North,10.0,20.1,19.4,23.1,10.1,4.4,14.5,87.1,11.5,23.1,22.3,26.5,11.6,5.1,16.7,100.0
2004,Tai Po,9.2,19.9,19.3,23.7,11.4,4.6,16.0,88.1,10.5,22.6,21.9,26.8,12.9,5.2,18.1,100.0
2004,Sha Tin,18.3,41.9,44.8,50.3,21.1,8.1,29.2,184.5,9.9,22.7,24.3,27.2,11.5,4.4,15.8,100.0
2004,Sai Kung,14.5,29.8,28.1,31.0,14.7,6.3,20.9,124.4,11.7,23.9,22.6,24.9,11.8,5.0,16.8,100.0
2004,Islands,8.6,10.0,6.1,8.4,4.4,1.9,6.3,39.4,21.8,25.5,15.6,21.2,11.2,4.7,15.9,100.0
2004,Whole Territory,303.2,504.6,493.6,512.8,232.1,94.2,326.3,2140.5,14.2,23.6,23.1,24.0,10.8,4.4,15.2,100.0
2005,Central and Western,23.2,24.7,15.9,15.4,7.7,3.3,11.0,90.2,25.7,27.4,17.6,17.1,8.5,3.7,12.2,100.0
2005,Wan Chai (3),17.3,17.1,9.9,7.6,4.8,2.0,6.8,58.7,29.5,29.1,16.8,13.0,8.2,3.3,11.5,100.0
2005,Eastern (3),29.8,46.8,43.2,43.1,19.0,8.4,27.4,190.2,15.7,24.6,22.7,22.6,10.0,4.4,14.4,100.0
2005,Southern,11.4,18.0,21.9,18.2,8.9,4.2,13.1,82.6,13.8,21.8,26.5,22.0,10.8,5.1,15.9,100.0
2005,Yau Tsim Mong,22.4,29.0,21.8,19.1,7.0,3.8,10.8,103.1,21.8,28.1,21.2,18.5,6.8,3.7,10.5,100.0
2005,Sham Shui Po,20.7,30.3,29.5,25.4,10.0,4.5,14.5,120.4,17.2,25.1,24.5,21.1,8.3,3.8,12.0,100.0
2005,Kowloon City,20.1,29.0,25.2,25.6,11.1,5.8,16.9,116.8,17.2,24.8,21.6,21.9,9.5,5.0,14.5,100.0
2005,Wong Tai Sin,18.0,29.5,32.6,32.7,14.1,6.8,20.8,133.6,13.5,22.1,24.4,24.5,10.5,5.1,15.6,100.0
2005,Kwun Tong,27.3,45.1,47.5,44.5,19.1,6.7,25.8,190.3,14.4,23.7,24.9,23.4,10.0,3.5,13.5,100.0
2005,Kwai Tsing,20.4,32.8,40.4,40.1,18.0,6.2,24.2,158.0,12.9,20.8,25.6,25.4,11.4,3.9,15.3,100.0
2005,Tsuen Wan,16.9,25.9,21.6,20.1,6.7,3.0,9.7,94.2,18.0,27.5,22.9,21.3,7.1,3.2,10.3,100.0
2005,Tuen Mun,22.8,37.6,40.3,40.9,15.2,4.5,19.7,161.3,14.1,23.3,25.0,25.3,9.4,2.8,12.2,100.0
2005,Yuen Long,25.4,36.9,37.4,42.8,18.8,7.5,26.3,168.9,15.0,21.9,22.2,25.4,11.1,4.5,15.6,100.0
2005,North,11.5,19.4,19.4,23.1,9.0,4.2,13.2,86.6,13.2,22.4,22.4,26.7,10.4,4.9,15.3,100.0
2005,Tai Po,12.2,17.9,19.5,23.3,10.8,4.9,15.8,88.6,13.7,20.2,22.0,26.3,12.2,5.6,17.8,100.0
2005,Sha Tin,20.8,43.6,42.9,46.9,21.9,7.8,29.7,184.0,11.3,23.7,23.3,25.5,11.9,4.2,16.1,100.0
2005,Sai Kung,16.7,29.3,28.5,32.9,13.2,5.5,18.7,126.1,13.2,23.2,22.6,26.1,10.5,4.4,14.8,100.0
2005,Islands,9.6,11.0,7.2,10.1,4.2,1.6,5.8,43.7,22.0,25.3,16.5,23.0,9.5,3.7,13.2,100.0
2005,Whole Territory,346.6,524.0,504.6,511.8,219.5,90.6,310.1,2197.1,15.8,23.8,23.0,23.3,10.0,4.1,14.1,100.0
2006,Central and Western,21.1,23.0,18.3,14.7,7.4,3.4,10.7,87.9,24.0,26.2,20.8,16.8,8.4,3.8,12.2,100.0
2006,Wan Chai (3),14.8,15.4,9.4,7.9,5.0,2.8,7.8,55.3,26.7,27.9,17.0,14.3,9.0,5.1,14.1,100.0
2006,Eastern (3),29.8,44.7,44.0,43.0,20.0,7.7,27.7,189.3,15.7,23.6,23.3,22.7,10.6,4.1,14.6,100.0
2006,Southern,9.4,19.3,20.9,19.1,9.6,4.3,13.9,82.5,11.4,23.3,25.4,23.1,11.6,5.2,16.8,100.0
