country_code,country_name,country_name_full,region,continent,n_parks,parks_per_100k,park_density_score,estimated_population,n_nodes,n_ways,avg_lat,avg_lon,population,global_rank,global_percentile,tier,dog_park_access_score,development_level,analysis_year,last_updated,cluster,peer_1,peer_1_parks,peer_2,peer_2_parks,peer_3,peer_3_parks,parks_per_100k_display,global_rank_display,global_percentile_display,popup_text
CZ,Czechia,Czechia,Europe & Central Asia,Europe,403,3.7761951282772546,42.699277088631796,10672118,75,328,49.77926238635236,15.49348724540943,10672118,12,88.54166666666666,Emerging,42.699277088631796,High Income,2023,2026-04-19,Leaders (High Parks),Israel,2.919,Australia,3.482,Slovakia,3.093,3.78,12,88.5,<b>Czechia</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 403<br/>Parks per 100k: 3.78<br/>Global Rank: 12 / 96<br/>Percentile: 88.5%<br/>Tier: Emerging
FO,Faroe Islands,Faroe Islands,Europe & Central Asia,Europe,2,3.7097492209526637,41.94782337698581,53912,0,2,62.226903199999995,-6.5720889499999995,53912,13,87.5,Emerging,41.94782337698581,Low Income,2023,2026-04-19,Developing (Moderate Parks),Monaco,2.569,Liechtenstein,2.532,Marshall Islands,2.495,3.71,13,87.5,<b>Faroe Islands</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 2<br/>Parks per 100k: 3.71<br/>Global Rank: 13 / 96<br/>Percentile: 87.5%<br/>Tier: Emerging
AU,Australia,Australia,East Asia & Pacific,Oceania,906,3.482108132832509,39.373372256085645,26018721,60,846,-31.4069228205298,147.80680685728476,26018721,14,86.45833333333334,Emerging,39.373372256085645,High Income,2023,2026-04-19,Leaders (High Parks),Spain,4.129,Czechia,3.776,Italy,3.923,3.48,14,86.5,<b>Australia</b><br/>Region: East Asia & Pacific<br/>Dog Parks: 906<br/>Parks per 100k: 3.48<br/>Global Rank: 14 / 96<br/>Percentile: 86.5%<br/>Tier: Emerging
IS,Iceland,Iceland,Europe & Central Asia,Europe,12,3.1413365863618874,35.51949993001806,382003,1,11,64.19059175,-21.641926033333334,382003,15,85.41666666666666,Emerging,35.51949993001806,High Income,2023,2026-04-19,Developing (Moderate Parks),Luxembourg,4.134,Andorra,2.509,Faroe Islands,3.71,3.14,15,85.4,<b>Iceland</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 12<br/>Parks per 100k: 3.14<br/>Global Rank: 15 / 96<br/>Percentile: 85.4%<br/>Tier: Emerging
SK,Slovakia,Slovakia,Europe & Central Asia,Europe,168,3.0929247137940026,34.97199771665892,5431752,20,148,48.494195513095235,18.895847922619048,5431752,16,84.375,Emerging,34.97199771665892,High Income,2023,2026-04-19,Leaders (High Parks),Croatia,2.723,Israel,2.919,Czechia,3.776,3.09,16,84.4,<b>Slovakia</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 168<br/>Parks per 100k: 3.09<br/>Global Rank: 16 / 96<br/>Percentile: 84.4%<br/>Tier: Emerging
IL,Israel,Israel,Middle East & North Africa,Asia,279,2.9191734240125555,33.007000068696556,9557500,50,229,32.08708501648746,34.88664666845878,9557500,17,83.33333333333334,Emerging,33.007000068696556,High Income,2023,2026-04-19,Leaders (High Parks),Slovakia,3.093,Croatia,2.723,Czechia,3.776,2.92,17,83.3,<b>Israel</b><br/>Region: Middle East & North Africa<br/>Dog Parks: 279<br/>Parks per 100k: 2.92<br/>Global Rank: 17 / 96<br/>Percentile: 83.3%<br/>Tier: Emerging
HR,Croatia,Croatia,Europe & Central Asia,Europe,105,2.7232825877720463,30.79162064357598,3855641,15,90,45.11062776,15.935931131428571,3855641,18,82.29166666666666,Emerging,30.79162064357598,High Income,2023,2026-04-19,Leaders (High Parks),Slovakia,3.093,Israel,2.919,Czechia,3.776,2.72,18,82.3,<b>Croatia</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 105<br/>Parks per 100k: 2.72<br/>Global Rank: 18 / 96<br/>Percentile: 82.3%<br/>Tier: Emerging
MC,Monaco,Monaco,Europe & Central Asia,Europe,1,2.5686470935758137,29.04280840299174,38931,0,1,43.7301438,7.4130649,38931,19,81.25,Low Tier,29.04280840299174,Low Income,2023,2026-04-19,Developing (Moderate Parks),Liechtenstein,2.532,Marshall Islands,2.495,Andorra,2.509,2.57,19,81.2,<b>Monaco</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 1<br/>Parks per 100k: 2.57<br/>Global Rank: 19 / 96<br/>Percentile: 81.2%<br/>Tier: Low Tier
LI,Liechtenstein,Liechtenstein,Europe & Central Asia,Europe,1,2.532094295191553,28.629423483997112,39493,1,0,47.1666806,9.4956931,39493,20,80.20833333333334,Low Tier,28.629423483997112,Low Income,2023,2026-04-19,Developing (Moderate Parks),Monaco,2.569,Marshall Islands,2.495,Andorra,2.509,2.53,20,80.2,<b>Liechtenstein</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 1<br/>Parks per 100k: 2.53<br/>Global Rank: 20 / 96<br/>Percentile: 80.2%<br/>Tier: Low Tier
CA,Canada,Canada,North America,Americas,981,2.5195234818304346,28.487256949759338,38935934,72,909,47.6182016764526,-94.88390411182466,38935934,21,79.16666666666666,Low Tier,28.487256949759338,High Income,2023,2026-04-19,Leaders (High Parks),Germany,2.426,Australia,3.482,Israel,2.919,2.52,21,79.2,<b>Canada</b><br/>Region: North America<br/>Dog Parks: 981<br/>Parks per 100k: 2.52<br/>Global Rank: 21 / 96<br/>Percentile: 79.2%<br/>Tier: Low Tier
