name,latitude,longitude,city,country,data_source,osm_id
Soho Grand Dog Park,40.7224667,-74.0043457,New York,USA,OpenStreetMap,1081291417
VYV Dog Park,40.723031,-74.0376963,New York,USA,OpenStreetMap,1084078607
Dog Park 1102747534,40.7693904,-73.9413751,New York,USA,OpenStreetMap,1102747534
Cobble Hill Dog Park,40.6903188,-73.9983451,New York,USA,OpenStreetMap,1104830445
Riverside Park South Dog Run,40.7814605,-73.9871654,New York,USA,OpenStreetMap,1110659775
Dog Park 1127943639,40.7676016,-73.9942689,New York,USA,OpenStreetMap,1127943639
Cooper Park Dog Run,40.7154268,-73.9361214,New York,USA,OpenStreetMap,1147069100
Dog Park 1154360063,40.7061779,-73.9467463,New York,USA,OpenStreetMap,1154360063
Stuyvesant Park Dog Run,40.733198,-73.9837392,New York,USA,OpenStreetMap,1154628504
Dog Park 1162572566,40.7144313,-73.952158,New York,USA,OpenStreetMap,1162572566
Dog Park 1192727773,40.7088567,-73.9573917,New York,USA,OpenStreetMap,1192727773
Astro's Community Dog Run,40.7581212,-73.9971052,New York,USA,OpenStreetMap,1201839441
Dog Park 1211615323,40.7711459,-74.0263124,New York,USA,OpenStreetMap,1211615323
Dog Park 1211615324,40.7709936,-74.0259841,New York,USA,OpenStreetMap,1211615324
Gansevoort Peninsula Dog Park,40.7404483,-74.0106038,New York,USA,OpenStreetMap,1213862026
Robin Kovary Run for Small Dogs,40.7301912,-73.9975449,New York,USA,OpenStreetMap,1232818504
Coleman Oval Dog Run,40.7113093,-73.9932568,New York,USA,OpenStreetMap,1239798104
Dog Park 1286970399,40.7346663,-74.0607705,New York,USA,OpenStreetMap,1286970399
Battery Park Dog Park,40.7040231,-74.015484,New York,USA,OpenStreetMap,1288980003
Dog Park 1289210263,40.6813025,-73.9701891,New York,USA,OpenStreetMap,1289210263
Fort Greene Park,40.6905261,-73.9742211,New York,USA,OpenStreetMap,1336678847
Dog Park 1358662341,40.7631811,-74.021223,New York,USA,OpenStreetMap,1358662341
Dog Park 1415499085,40.7292076,-74.0514108,New York,USA,OpenStreetMap,1415499085
Dog Park 1426291564,40.6914054,-73.9838467,New York,USA,OpenStreetMap,1426291564
New Wave Pier Dog Run,40.7459182,-73.9697668,New York,USA,OpenStreetMap,1445615993
New Wave Pier Small Dog Run,40.7461405,-73.9695636,New York,USA,OpenStreetMap,1445615994
Sven Dog Park,40.7509118,-73.9362454,New York,USA,OpenStreetMap,1458288080
Dog Park 1229112075,37.7361936,-122.4848346,San Francisco,USA,OpenStreetMap,1229112075
Dog Park 11021366853,37.7872677,-122.3917161,San Francisco,USA,OpenStreetMap,11021366853
McLaren Park Dog Play Area,37.7194526,-122.4187836,San Francisco,USA,OpenStreetMap,13567393701
Corona Heights Dog Play Area,37.7655424,-122.4398144,San Francisco,USA,OpenStreetMap,38025784
Mission Bay Dog Park,37.770686,-122.3991458,San Francisco,USA,OpenStreetMap,56645382
Dog Park 128534082,37.7805666,-122.413677,San Francisco,USA,OpenStreetMap,128534082
Rincon Hill Dog Park,37.7859383,-122.3904146,San Francisco,USA,OpenStreetMap,174826283
Dog Park 249654585,37.7597544,-122.4364863,San Francisco,USA,OpenStreetMap,249654585
Dog Play Area,37.7696327,-122.432351,San Francisco,USA,OpenStreetMap,251442759
Dog Park 264552589,37.7403686,-122.3759672,San Francisco,USA,OpenStreetMap,264552589
Walter Haas Dog Park,37.7404294,-122.435395,San Francisco,USA,OpenStreetMap,375333476
Progress Park,37.7531898,-122.3910735,San Francisco,USA,OpenStreetMap,382085619
Dog Park 395490068,37.70776,-122.4411533,San Francisco,USA,OpenStreetMap,395490068
Dog Park 402067892,37.7327469,-122.4208916,San Francisco,USA,OpenStreetMap,402067892
Joby's Dog Run,37.7424666,-122.4273908,San Francisco,USA,OpenStreetMap,417184097
Dog Park 421567986,37.777249,-122.4061212,San Francisco,USA,OpenStreetMap,421567986
Off-leash Dog Area,37.7149751,-122.4275938,San Francisco,USA,OpenStreetMap,427290243
Buena Vista Dog Run,37.7687283,-122.442784,San Francisco,USA,OpenStreetMap,480149175
Dog Park 547224409,37.7762441,-122.4353469,San Francisco,USA,OpenStreetMap,547224409
Dog Park 551837087,37.7816627,-122.4263609,San Francisco,USA,OpenStreetMap,551837087
Dog Park 551990539,37.8014687,-122.4323486,San Francisco,USA,OpenStreetMap,551990539
Dog Park 573287809,37.7723632,-122.3935246,San Francisco,USA,OpenStreetMap,573287809
Dog Park 576099480,37.7518902,-122.3929564,San Francisco,USA,OpenStreetMap,576099480
Dog Park 577621111,37.7182896,-122.4812917,San Francisco,USA,OpenStreetMap,577621111
Dog Park 847869212,37.7147146,-122.4764955,San Francisco,USA,OpenStreetMap,847869212
Avalon Dogpatch Dog Park,37.7603216,-122.3918374,San Francisco,USA,OpenStreetMap,908908429
SoMa West Dog Park,37.7702913,-122.4219889,San Francisco,USA,OpenStreetMap,909411961
Daggett Plaza Dog Run,37.7670603,-122.3960562,San Francisco,USA,OpenStreetMap,967119898
50 Jones Dog Jog,37.7816245,-122.4119056,San Francisco,USA,OpenStreetMap,990987746
Pepi's Dog Park,37.8044894,-122.4211186,San Francisco,USA,OpenStreetMap,1055773989
Dog Park 1056552552,37.7874567,-122.4668934,San Francisco,USA,OpenStreetMap,1056552552
Dog Park 1075265279,37.7910988,-122.4268829,San Francisco,USA,OpenStreetMap,1075265279
Dog Park 1099949743,37.7120695,-122.4650445,San Francisco,USA,OpenStreetMap,1099949743
Upper Douglass Dog Play Area,37.7467953,-122.439075,San Francisco,USA,OpenStreetMap,1119773696
Dog Park 1183848627,37.7882705,-122.4660803,San Francisco,USA,OpenStreetMap,1183848627
The Rocks Dog Park,37.8107735,-122.3680329,San Francisco,USA,OpenStreetMap,1232534974
Dog Park 1365464724,37.7760705,-122.3880762,San Francisco,USA,OpenStreetMap,1365464724
Dog Park 1427215209,37.7792252,-122.4012086,San Francisco,USA,OpenStreetMap,1427215209
Canvas LA Dog Park,34.0593211,-118.2534311,Los Angeles,USA,OpenStreetMap,5394688230
Hermon Dog Park,34.1073896,-118.1852639,Los Angeles,USA,OpenStreetMap,154972854
LAPD Lawn Park,34.0515858,-118.245002,Los Angeles,USA,OpenStreetMap,192181276
Silver Lake Dog Park,34.0922605,-118.2645499,Los Angeles,USA,OpenStreetMap,240887680
L.A. LIVE Dog Park,34.0456821,-118.2693342,Los Angeles,USA,OpenStreetMap,356678085
Dog Park 958988203,34.0545502,-118.2434535,Los Angeles,USA,OpenStreetMap,958988203
Dog Park 1155620902,34.048348,-118.2525032,Los Angeles,USA,OpenStreetMap,1155620902
Ross Snyder Dog Park,34.0102786,-118.248396,Los Angeles,USA,OpenStreetMap,1324885087
Dog Park 13639275748,41.930722,-87.6382402,Chicago,USA,OpenStreetMap,13639275748
Belmont Harbor Dog Beach,41.9453114,-87.640325,Chicago,USA,OpenStreetMap,23989865
Park No. 556,41.9275758,-87.6883365,Chicago,USA,OpenStreetMap,34851617
Dog Park 133805074,41.8799521,-87.650571,Chicago,USA,OpenStreetMap,133805074
Dog Park 156571387,41.8857073,-87.6184922,Chicago,USA,OpenStreetMap,156571387
Wiggly Field Park,41.9305284,-87.6534295,Chicago,USA,OpenStreetMap,158977042
Dog Park 206621731,41.9142415,-87.6767472,Chicago,USA,OpenStreetMap,206621731
