name,latitude,longitude,city,country,data_source,confidence_score,osm_id
Van Vorst Park Dog Run,40.7182893,-74.0472735,New York,USA,OpenStreetMap (leisure=dog_park),0.85,741915623
Dog Park 757985935,40.7381138,-74.0661837,New York,USA,OpenStreetMap (leisure=dog_park),0.85,757985935
Dog Park 765885097,40.7380148,-74.042119,New York,USA,OpenStreetMap (leisure=dog_park),0.85,765885097
Dog Park 832365277,40.7332437,-74.0495581,New York,USA,OpenStreetMap (leisure=dog_park),0.85,832365277
Robert Moses Playground Dog Run,40.7482584,-73.9689896,New York,USA,OpenStreetMap (leisure=dog_park),0.85,889673026
North End Avenue Dog Run,40.7167301,-74.0146769,New York,USA,OpenStreetMap (leisure=dog_park),0.85,891134386
Sirius Dog Run,40.7120151,-74.0169299,New York,USA,OpenStreetMap (leisure=dog_park),0.85,891134438
Greenwood Playground Dog Run,40.6493986,-73.9763517,New York,USA,OpenStreetMap (leisure=dog_park),0.85,997306758
Andrew Haswell Green Dog Park,40.7602391,-73.9568168,New York,USA,OpenStreetMap (leisure=dog_park),0.85,997819342
Small Dog Park,40.7764533,-73.9896483,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1001492295
Large dog park,40.7765969,-73.9895465,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1001492296
Dog Park 1016727644,40.7133014,-73.9686188,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1016727644
Dog Park 1028241538,40.7372378,-73.9590597,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1028241538
Dog Park 1041760677,40.7810003,-73.9498264,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1041760677
Tribeca Dog Run,40.7162113,-74.0120888,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1047418170
Dog Park 1051664012,40.7147901,-74.0455937,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1051664012
Urby Dog Park,40.7204696,-74.0345067,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1073218553
Professors' Dog Park,40.7212198,-74.0327729,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1075378734
Soho Grand Dog Park,40.7224667,-74.0043457,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1081291417
VYV Dog Park,40.723031,-74.0376963,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1084078607
Dog Park 1102747534,40.7693904,-73.9413751,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1102747534
Cobble Hill Dog Park,40.6903188,-73.9983451,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1104830445
Riverside Park South Dog Run,40.7814605,-73.9871654,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1110659775
Dog Park 1127943639,40.7676016,-73.9942689,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1127943639
Cooper Park Dog Run,40.7154268,-73.9361214,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1147069100
Dog Park 1154360063,40.7061779,-73.9467463,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1154360063
Stuyvesant Park Dog Run,40.733198,-73.9837392,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1154628504
Dog Park 1162572566,40.7144313,-73.952158,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1162572566
Dog Park 1192727773,40.7088567,-73.9573917,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1192727773
Astro's Community Dog Run,40.7581212,-73.9971052,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1201839441
Dog Park 1211615323,40.7711459,-74.0263124,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1211615323
Dog Park 1211615324,40.7709936,-74.0259841,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1211615324
Gansevoort Peninsula Dog Park,40.7404483,-74.0106038,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1213862026
Robin Kovary Run for Small Dogs,40.7301912,-73.9975449,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1232818504
Coleman Oval Dog Run,40.7113093,-73.9932568,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1239798104
Dog Park 1286970399,40.7346663,-74.0607705,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1286970399
Battery Park Dog Park,40.7040231,-74.015484,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1288980003
Dog Park 1289210263,40.6813025,-73.9701891,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1289210263
Fort Greene Park,40.6905261,-73.9742211,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1336678847
Dog Park 1358662341,40.7631811,-74.021223,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1358662341
Dog Park 1415499085,40.7292076,-74.0514108,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1415499085
Dog Park 1426291564,40.6914054,-73.9838467,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1426291564
New Wave Pier Dog Run,40.7459182,-73.9697668,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1445615993
New Wave Pier Small Dog Run,40.7461405,-73.9695636,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1445615994
Sven Dog Park,40.7509118,-73.9362454,New York,USA,OpenStreetMap (leisure=dog_park),0.85,1458288080
Dog Park 1229112075,37.7361936,-122.4848346,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1229112075
Dog Park 11021366853,37.7872677,-122.3917161,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,11021366853
McLaren Park Dog Play Area,37.7194526,-122.4187836,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,13567393701
Corona Heights Dog Play Area,37.7655424,-122.4398144,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,38025784
Mission Bay Dog Park,37.770686,-122.3991458,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,56645382
Dog Park 128534082,37.7805666,-122.413677,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,128534082
Rincon Hill Dog Park,37.7859383,-122.3904146,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,174826283
Dog Park 249654585,37.7597544,-122.4364863,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,249654585
Dog Play Area,37.7696327,-122.432351,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,251442759
Dog Park 264552589,37.7403686,-122.3759672,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,264552589
Walter Haas Dog Park,37.7404294,-122.435395,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,375333476
Progress Park,37.7531898,-122.3910735,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,382085619
Dog Park 395490068,37.70776,-122.4411533,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,395490068
Dog Park 402067892,37.7327469,-122.4208916,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,402067892
Joby's Dog Run,37.7424666,-122.4273908,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,417184097
Dog Park 421567986,37.777249,-122.4061212,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,421567986
Off-leash Dog Area,37.7149751,-122.4275938,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,427290243
Buena Vista Dog Run,37.7687283,-122.442784,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,480149175
Dog Park 547224409,37.7762441,-122.4353469,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,547224409
Dog Park 551837087,37.7816627,-122.4263609,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,551837087
Dog Park 551990539,37.8014687,-122.4323486,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,551990539
Dog Park 573287809,37.7723632,-122.3935246,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,573287809
Dog Park 576099480,37.7518902,-122.3929564,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,576099480
Dog Park 577621111,37.7182896,-122.4812917,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,577621111
Dog Park 847869212,37.7147146,-122.4764955,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,847869212
Avalon Dogpatch Dog Park,37.7603216,-122.3918374,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,908908429
SoMa West Dog Park,37.7702913,-122.4219889,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,909411961
Daggett Plaza Dog Run,37.7670603,-122.3960562,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,967119898
50 Jones Dog Jog,37.7816245,-122.4119056,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,990987746
Pepi's Dog Park,37.8044894,-122.4211186,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1055773989
Dog Park 1056552552,37.7874567,-122.4668934,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1056552552
Dog Park 1075265279,37.7910988,-122.4268829,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1075265279
Dog Park 1099949743,37.7120695,-122.4650445,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1099949743
Upper Douglass Dog Play Area,37.7467953,-122.439075,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1119773696
Dog Park 1183848627,37.7882705,-122.4660803,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1183848627
The Rocks Dog Park,37.8107735,-122.3680329,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1232534974
Dog Park 1365464724,37.7760705,-122.3880762,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1365464724
Dog Park 1427215209,37.7792252,-122.4012086,San Francisco,USA,OpenStreetMap (leisure=dog_park),0.85,1427215209
Canvas LA Dog Park,34.0593211,-118.2534311,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,5394688230
Hermon Dog Park,34.1073896,-118.1852639,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,154972854
LAPD Lawn Park,34.0515858,-118.245002,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,192181276
Silver Lake Dog Park,34.0922605,-118.2645499,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,240887680
L.A. LIVE Dog Park,34.0456821,-118.2693342,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,356678085
Dog Park 958988203,34.0545502,-118.2434535,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,958988203
Dog Park 1155620902,34.048348,-118.2525032,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,1155620902
Ross Snyder Dog Park,34.0102786,-118.248396,Los Angeles,USA,OpenStreetMap (leisure=dog_park),0.85,1324885087
Dog Park 13639275748,41.930722,-87.6382402,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,13639275748
Belmont Harbor Dog Beach,41.9453114,-87.640325,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,23989865
Park No. 556,41.9275758,-87.6883365,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,34851617
Dog Park 133805074,41.8799521,-87.650571,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,133805074
Dog Park 156571387,41.8857073,-87.6184922,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,156571387
Wiggly Field Park,41.9305284,-87.6534295,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,158977042
Dog Park 206621731,41.9142415,-87.6767472,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,206621731
Fred Anderson Park,41.859482,-87.6251712,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,313782003
Ohio Place Dog Park,41.8923248,-87.6382452,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,346983725
Dog Park 346985162,41.8894028,-87.6253297,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,346985162
Dog Park 347372407,41.9074097,-87.6752209,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,347372407
Grant Bark Park,41.8703794,-87.6217687,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349234970
Dog Park 349236432,41.8621333,-87.6264805,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349236432
Dog Park 349238237,41.9360604,-87.6803204,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349238237
Dog Park 349239805,41.8886009,-87.6432248,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349239805
Park No. 569,41.8806153,-87.6616835,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349239969
Dog Park 349242647,41.9140276,-87.668131,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349242647
Larrabee Dog Park,41.8942958,-87.6432427,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,349242662
Dog Park 352376730,41.8869453,-87.6186173,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,352376730
Dog Park 357516252,41.89629,-87.6418294,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,357516252
Dog Park 362102149,41.8922137,-87.6178432,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,362102149
Dog Park 405326802,41.8115182,-87.5957649,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,405326802
Dog Park 438978486,41.8604401,-87.621197,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,438978486
Dog Park 568289279,41.8761085,-87.6506971,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,568289279
Park No. 591,41.82455,-87.6040002,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,736330511
Dog Park 736330515,41.8225448,-87.622057,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,736330515
Park No. 592,41.818695,-87.6133279,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,736330517
D'Angelo Dog Park,41.8759438,-87.6356536,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,747160822
Dog Park 787821282,41.8952803,-87.6338767,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,787821282
