Model,AIC,LogLik,Delta_AIC
OLS,214.5028092057874,-101.2514046028937,0
Spatial Lag,215.53348102457176,-100.76674051228588,1.0306718187843558
Spatial Error,215.87025727476043,-100.93512863738022,1.367448068973033
