region,n_countries,total_pop,avg_elderly_ratio,avg_youth_ratio,avg_life_expectancy,avg_gdp_per_capita,avg_pop_density
East Asia & Pacific,37,2364906595,9.764841221671551,25.062986044039157,74.11465853658537,19545.653775387447,1117.4028474613128
Europe & Central Asia,56,928055753,18.194191464374242,17.377048983294298,79.15059412020906,44560.80290903377,455.0630321535515
Latin America & Caribbean,39,661960942,10.702773907357155,21.615477926593133,75.35532645403377,18096.708131723895,164.36675531808575
"Middle East, North Africa, Afghanistan & Pakistan",22,807856984,5.829965411566723,26.882253979463236,76.23068847006653,17877.31882691743,301.31230835261
North America,3,381464223,19.824075761681264,15.347586829265568,81.16276422764227,93909.92107347003,413.16390502830734
South Asia,6,1677384532,7.231138585815152,23.92895150439138,75.00333333333333,4743.618092647906,691.9908764554234
Sub-Saharan Africa,48,1291044964,3.6512369269336036,38.87362708671066,64.77800304878049,2619.608247387304,122.60338405385573
